 movie_id | actor_id 
----------+----------
        1 |     1173
        1 |     1798
        1 |     2146
        1 |     2237
        2 |      547
        2 |      878
        2 |     1378
        2 |     1484
        3 |       39
        3 |       73
        3 |      720
        3 |     1792
        4 |      354
        4 |     1102
        4 |     1125
        4 |     1764
        5 |      345
        5 |      785
        5 |     1113
        5 |     1568
        6 |       67
        6 |      583
        6 |     1703
        6 |     2152
        7 |       81
        7 |      545
        7 |     2035
        7 |     2136
        8 |      261
        8 |      675
        8 |     1919
        8 |     1928
        9 |      300
        9 |      704
        9 |     1045
        9 |     1286
       10 |      854
       10 |      865
       10 |      890
       10 |     2158
       11 |      714
       11 |      764
       11 |      992
       11 |     2377
       12 |      214
       12 |      601
       12 |     1466
       12 |     1838
       13 |      588
       13 |     1532
       13 |     1924
       13 |     2314
       14 |      723
       14 |     1133
       14 |     1757
       14 |     2064
       15 |      476
       15 |      478
       15 |     1956
       15 |     2209
       16 |      841
       16 |     1147
       16 |     1440
       16 |     2290
       17 |      513
       17 |     1225
       17 |     1432
       17 |     1737
       18 |       67
       18 |      640
       18 |      898
       18 |     1552
       19 |      858
       19 |      977
       19 |     1126
       19 |     1150
       20 |      618
       20 |      794
       20 |     1376
       20 |     1441
       21 |     1102
       21 |     1292
       21 |     1870
       21 |     2083
       22 |      639
       22 |     1190
       22 |     1742
       22 |     1813
       23 |      199
       23 |     1700
       23 |     1902
       23 |     2164
       24 |      998
       24 |     1615
       24 |     1908
       24 |     2099
       25 |      175
       25 |      774
       25 |     1132
       25 |     2127
       26 |      370
       26 |      502
       26 |      752
       26 |     2247
       27 |      134
       27 |      464
       27 |     1128
       27 |     2147
       28 |      578
       28 |     1076
       28 |     1508
       28 |     1681
       29 |     1273
       29 |     1728
       29 |     2094
       29 |     2332
       30 |      657
       30 |     1439
       30 |     1507
       30 |     1868
       31 |      146
       31 |      749
       31 |     1080
       31 |     1092
       32 |      731
       32 |     1065
       32 |     1441
       32 |     2371
       33 |      720
       33 |     1243
       33 |     1484
       33 |     2350
       34 |      575
       34 |      719
       34 |     1946
       34 |     2352
       35 |      327
       35 |     1176
       35 |     1936
       35 |     2318
       36 |      371
       36 |     1054
       36 |     1197
       36 |     2124
       37 |      366
       37 |      499
       37 |      797
       37 |     1102
       38 |      257
       38 |      855
       38 |     1235
       38 |     1549
       39 |       26
       39 |      149
       39 |     2158
       39 |     2231
       40 |     1055
       40 |     1130
       40 |     1319
       40 |     1943
       41 |      185
       41 |     1563
       41 |     2098
       41 |     2281
       42 |      610
       42 |     1361
       42 |     1514
       42 |     2166
       43 |       52
       43 |       87
       43 |      930
       43 |      961
       44 |      404
       44 |      983
       44 |     1298
       44 |     1521
       45 |      837
       45 |     1168
       45 |     1842
       45 |     2296
       46 |      219
       46 |      417
       46 |      459
       46 |     1140
       47 |      144
       47 |      618
       47 |      843
       47 |     2115
       48 |      232
       48 |      433
       48 |     1860
       48 |     2271
       49 |      466
       49 |     1152
       49 |     1421
       49 |     2237
       50 |      331
       50 |     1227
       50 |     1961
       50 |     2356
       51 |      493
       51 |      838
       51 |     1162
       51 |     1318
       52 |      270
       52 |      637
       52 |     1871
       52 |     2331
       53 |      172
       53 |      818
       53 |      826
       53 |     2209
       54 |      908
       54 |     1026
       54 |     2104
       54 |     2152
       55 |      280
       55 |      351
       55 |      754
       55 |      757
       56 |     1030
       56 |     1239
       56 |     1432
       56 |     2129
       57 |      656
       57 |      729
       57 |     1665
       57 |     1975
       58 |     1256
       58 |     1569
       58 |     1688
       58 |     2391
       59 |      880
       59 |     1719
       59 |     1983
       59 |     2391
       60 |       10
       60 |      351
       60 |      471
       60 |     2162
       61 |      324
       61 |     1431
       61 |     1714
       61 |     2385
       62 |     1135
       62 |     1202
       62 |     1650
       62 |     1655
       63 |      275
       63 |      290
       63 |      632
       63 |     1442
       64 |      638
       64 |      943
       64 |     1724
       64 |     2137
       65 |      757
       65 |     1261
       65 |     1580
       65 |     1764
       66 |      411
       66 |      754
       66 |      938
       66 |     1203
       67 |      200
       67 |      545
       67 |      726
       67 |     2085
       68 |      769
       68 |     1243
       68 |     1378
       68 |     2169
       69 |      733
       69 |      955
       69 |     1043
       69 |     1636
       70 |      239
       70 |      726
       70 |      902
       70 |     1057
       71 |       13
       71 |      602
       71 |     1283
       71 |     1952
       72 |      514
       72 |     1439
       72 |     2017
       72 |     2047
       73 |      446
       73 |     1462
       73 |     1864
       73 |     2360
       74 |     1169
       74 |     1568
       74 |     2065
       74 |     2125
       75 |      503
       75 |      517
       75 |      940
       75 |     1084
       76 |      310
       76 |      417
       76 |     1206
       76 |     1262
       77 |       78
       77 |     1247
       77 |     1764
       77 |     2086
       78 |      260
       78 |      514
       78 |      576
       78 |     1120
       79 |       75
       79 |      310
       79 |      417
       79 |     1206
       80 |     1334
       80 |     1536
       80 |     2098
       80 |     2263
       81 |      408
       81 |      995
       81 |     1019
       81 |     1252
       82 |      496
       82 |      681
       82 |     1768
       82 |     2177
       83 |      785
       83 |      995
       83 |     1102
       83 |     1563
       84 |      607
       84 |     1431
       84 |     1797
       84 |     1824
       85 |      190
       85 |      555
       85 |     1522
       85 |     1757
       86 |      567
       86 |      744
       86 |     1292
       86 |     1798
       87 |     1163
       87 |     1431
       87 |     1657
       87 |     1876
       88 |     1388
       88 |     1462
       88 |     1992
       88 |     2237
       89 |      191
       89 |      902
       89 |     1866
       89 |     2246
       90 |      545
       90 |      913
       90 |     1431
       90 |     1674
       91 |      345
       91 |     1065
       91 |     1993
       91 |     2258
       92 |      356
       92 |      957
       92 |     1642
       92 |     1758
       93 |      214
       93 |      345
       93 |      665
       93 |     1292
       94 |      444
       94 |     1693
       94 |     2010
       94 |     2150
       95 |       78
       95 |     1208
       95 |     1825
       95 |     2086
       96 |      121
       96 |      440
       96 |      851
       96 |     2207
       97 |      284
       97 |      663
       97 |      862
       97 |     2252
       98 |      387
       98 |      428
       98 |     1998
       98 |     2294
       99 |       85
       99 |      447
       99 |      833
       99 |     2222
      100 |      995
      100 |     1034
      100 |     1114
      100 |     1170
      101 |      938
      101 |     1374
      101 |     1840
      101 |     2169
      102 |      778
      102 |     1312
      102 |     1533
      102 |     1586
      103 |       67
      103 |      797
      103 |      839
      103 |     2098
      104 |      914
      104 |     1199
      104 |     1548
      104 |     1614
      105 |      640
      105 |      876
      105 |     2119
      105 |     2380
      106 |       69
      106 |      827
      106 |      957
      106 |     1152
      107 |     1313
      107 |     1638
      107 |     1752
      107 |     1858
      108 |      165
      108 |      543
      108 |      612
      108 |     1685
      109 |      581
      109 |      804
      109 |     1905
      109 |     2120
      110 |      159
      110 |      493
      110 |      838
      110 |     2134
      111 |      529
      111 |      982
      111 |      984
      111 |     1082
      112 |       88
      112 |      320
      112 |      672
      112 |     1484
      113 |     1157
      113 |     1532
      113 |     1551
      113 |     2104
      114 |      429
      114 |     1171
      114 |     1338
      114 |     1960
      115 |       50
      115 |      201
      115 |      962
      115 |     1307
      116 |      719
      116 |      826
      116 |     1436
      116 |     2276
      117 |      325
      117 |     1335
      117 |     1645
      117 |     1653
      118 |      243
      118 |      715
      118 |     1678
      118 |     2315
      119 |      396
      119 |      800
      119 |     1057
      119 |     1501
      120 |     1494
      120 |     1811
      120 |     2070
      120 |     2242
      121 |      909
      121 |     1203
      121 |     1931
      121 |     2262
      122 |       97
      122 |      560
      122 |     2125
      122 |     2331
      123 |      422
      123 |      986
      123 |     1674
      123 |     1778
      124 |     1287
      124 |     1382
      124 |     1818
      124 |     2105
      125 |        4
      125 |      366
      125 |      757
      125 |     2144
      126 |      503
      126 |     1278
      126 |     1310
      126 |     1740
      127 |      582
      127 |      705
      127 |      726
      127 |     1869
      128 |      255
      128 |     1009
      128 |     1402
      128 |     1599
      129 |     1379
      129 |     1557
      129 |     1839
      129 |     2073
      130 |        4
      130 |      838
      130 |      995
      130 |     1559
      131 |      345
      131 |      400
      131 |      599
      131 |     2231
      132 |       56
      132 |      438
      132 |     1615
      132 |     2037
      133 |       92
      133 |      347
      133 |     1053
      133 |     1949
      134 |      545
      134 |      655
      134 |     1821
      134 |     1889
      135 |      555
      135 |     1522
      135 |     1757
      135 |     1992
      136 |       79
      136 |      888
      136 |     1173
      136 |     2136
      137 |      572
      137 |     1093
      137 |     1443
      137 |     1961
      138 |      171
      138 |      995
      138 |     1122
      138 |     1138
      139 |      872
      139 |      995
      139 |     1355
      139 |     1825
      140 |      155
      140 |      836
      140 |     1759
      140 |     1940
      141 |      508
      141 |     1152
      141 |     1421
      141 |     2126
      142 |      765
      142 |     1413
      142 |     1725
      142 |     2235
      143 |      121
      143 |      672
      143 |      757
      143 |     1200
      144 |      142
      144 |      810
      144 |      999
      144 |     2107
      145 |      543
      145 |      945
      145 |     1667
      145 |     1965
      146 |      262
      146 |      301
      146 |     1394
      146 |     1894
      147 |       73
      147 |      520
      147 |      853
      147 |     1357
      148 |      405
      148 |      695
      148 |      763
      148 |     1240
      149 |      226
      149 |     1563
      149 |     1689
      149 |     1908
      150 |      471
      150 |      957
      150 |     1624
      150 |     1864
      151 |      127
      151 |      562
      151 |      693
      151 |     1094
      152 |      676
      152 |      854
      152 |      973
      152 |     1218
      153 |      136
      153 |      166
      153 |      504
      153 |     1833
      154 |      275
      154 |      572
      154 |      913
      154 |     1275
      155 |      624
      155 |      709
      155 |     1550
      155 |     1819
      156 |      143
      156 |      355
      156 |      924
      156 |     1472
      157 |      419
      157 |     1024
      157 |     1734
      157 |     1898
      158 |       42
      158 |       81
      158 |      121
      158 |     1722
      159 |      226
      159 |      469
      159 |     1501
      159 |     2056
      160 |     1513
      160 |     1969
      160 |     1983
      160 |     2024
      161 |      338
      161 |      936
      161 |     1403
      161 |     1553
      162 |      734
      162 |     1021
      162 |     1296
      162 |     2119
      163 |      666
      163 |      742
      163 |     1580
      163 |     2367
      164 |      176
      164 |     1038
      164 |     1935
      164 |     2197
      165 |      110
      165 |      250
      165 |     1453
      165 |     1931
      166 |      229
      166 |      447
      166 |     1045
      166 |     2310
      167 |       59
      167 |     1009
      167 |     1093
      167 |     1825
      168 |      227
      168 |      856
      168 |     1375
      168 |     2218
      169 |     1031
      169 |     1248
      169 |     1326
      169 |     1816
      170 |      110
      170 |      543
      170 |     1350
      170 |     2044
      171 |      197
      171 |     1385
      171 |     2112
      171 |     2183
      172 |      331
      172 |     1350
      172 |     1352
      172 |     1541
      173 |      339
      173 |      710
      173 |     1414
      173 |     1629
      174 |      926
      174 |     1710
      174 |     1714
      174 |     1764
      175 |       24
      175 |      645
      175 |     1327
      175 |     2051
      176 |       48
      176 |      328
      176 |      460
      176 |      600
      177 |      922
      177 |     1504
      177 |     2144
      177 |     2327
      178 |      139
      178 |      371
      178 |     1265
      178 |     2167
      179 |      405
      179 |      526
      179 |      887
      179 |     2261
      180 |      406
      180 |      458
      180 |     1460
      180 |     1870
      181 |      523
      181 |      593
      181 |      702
      181 |     1018
      182 |      240
      182 |     1188
      182 |     1962
      182 |     2368
      183 |      374
      183 |      776
      183 |     1690
      183 |     2033
      184 |       13
      184 |       33
      184 |     2074
      184 |     2228
      185 |       95
      185 |      129
      185 |      183
      185 |     2202
      186 |      295
      186 |      325
      186 |      798
      186 |     2023
      187 |      569
      187 |      727
      187 |      963
      187 |     1060
      188 |      797
      188 |     1533
      188 |     1672
      188 |     1734
      189 |      171
      189 |      457
      189 |     1811
      189 |     2136
      190 |     1021
      190 |     1272
      190 |     1417
      190 |     1689
      191 |      640
      191 |      657
      191 |      825
      191 |     1564
      192 |      333
      192 |      790
      192 |      911
      192 |     1481
      193 |      257
      193 |      389
      193 |      875
      193 |     1175
      194 |       39
      194 |      467
      194 |     1219
      194 |     2087
      195 |     1122
      195 |     1489
      195 |     1867
      195 |     2169
      196 |      209
      196 |     1054
      196 |     1066
      196 |     1203
      197 |     1628
      197 |     1782
      197 |     1911
      197 |     2346
      198 |      133
      198 |      304
      198 |      918
      198 |     1683
      199 |      310
      199 |     1235
      199 |     1305
      199 |     1540
      200 |      118
      200 |      380
      200 |     1215
      200 |     1440
      201 |       56
      201 |     1038
      201 |     1876
      201 |     2183
      202 |      298
      202 |      651
      202 |     1156
      202 |     1588
      203 |      271
      203 |      857
      203 |     1195
      203 |     1770
      204 |       78
      204 |      561
      204 |      827
      204 |     1456
      205 |      560
      205 |      711
      205 |     1560
      205 |     2331
      206 |      207
      206 |      720
      206 |     1484
      206 |     2350
      207 |      122
      207 |      552
      207 |      847
      207 |     1808
      208 |      177
      208 |      454
      208 |      812
      208 |     1323
      209 |     1006
      209 |     1011
      209 |     1706
      209 |     2320
      210 |      202
      210 |      879
      210 |      880
      210 |     1353
      211 |       27
      211 |      380
      211 |     1240
      211 |     2063
      212 |      228
      212 |      946
      212 |     2029
      212 |     2106
      213 |       58
      213 |      566
      213 |     1068
      213 |     1715
      214 |       20
      214 |     1203
      214 |     1407
      214 |     2221
      215 |     1312
      215 |     1533
      215 |     1557
      215 |     1586
      216 |      737
      216 |     1049
      216 |     1726
      216 |     2034
      217 |      698
      217 |     1054
      217 |     1197
      217 |     1203
      218 |     1761
      218 |     1975
      218 |     2170
      218 |     2267
      219 |      184
      219 |      548
      219 |     1755
      219 |     2335
      220 |      222
      220 |     1050
      220 |     1051
      220 |     1191
      221 |     1258
      221 |     1296
      221 |     1442
      221 |     1874
      222 |      135
      222 |      163
      222 |     1222
      222 |     2393
      223 |      774
      223 |     1444
      223 |     1827
      223 |     2191
      224 |      110
      224 |      294
      224 |     1126
      224 |     1557
      225 |     1029
      225 |     1182
      225 |     1281
      225 |     1523
      226 |       98
      226 |      608
      226 |      952
      226 |     1299
      227 |      384
      227 |      745
      227 |     1423
      227 |     1564
      228 |      616
      228 |     1104
      228 |     1328
      228 |     1529
      229 |      489
      229 |     1163
      229 |     1407
      229 |     1881
      230 |      138
      230 |      878
      230 |     1067
      230 |     2088
      231 |      342
      231 |      662
      231 |      987
      231 |     1837
      232 |      521
      232 |     1442
      232 |     1920
      232 |     2006
      233 |       99
      233 |      807
      233 |     1063
      233 |     1686
      234 |      290
      234 |     1038
      234 |     1376
      234 |     2126
      235 |       56
      235 |      797
      235 |     1312
      235 |     1378
      236 |        6
      236 |      201
      236 |      699
      236 |     2361
      237 |     1012
      237 |     1077
      237 |     1158
      237 |     1537
      238 |      225
      238 |      270
      238 |     1148
      238 |     1729
      239 |      385
      239 |      533
      239 |     1529
      239 |     2297
      240 |     1120
      240 |     1707
      240 |     2260
      240 |     2348
      241 |       93
      241 |      514
      241 |      608
      241 |     2065
      242 |     1036
      242 |     1689
      242 |     1701
      242 |     1731
      243 |      545
      243 |      891
      243 |     1573
