 id  |          director_name           
-----+----------------------------------
   1 | Glenn Ficarra
   2 | Walter Hill
   3 | Morten Tyldum
   4 | Martin Koolhoven
   5 | Frank Miller
   6 | Robert Rodriguez
   7 | Bobby Farrelly
   8 | Phil Lord
   9 | Martin Scorsese
  10 | Christopher Smith
  11 | John Hillcoat
  12 | Seth Gordon
  13 | Rupert Sanders
  14 | Wally Pfister
  15 | Sylvester Stallone
  16 | Atom Egoyan
  17 | Jeff Grace
  18 | Tom Tykwer
  19 | Amber Tamblyn
  20 | John Krasinski
  21 | Simon West
  22 | Ethan Coen
  23 | Patricia Riggen
  24 | Jamal Hill
  25 | Lars von Trier
  26 | Nicholas Stoller
  27 | Michael J. Gallagher
  28 | Clay Kaytis
  29 | Scott Frank
  30 | Sam Raimi
  31 | Steven Shainberg
  32 | Filip Renc
  33 | Rob Zombie
  34 | R.J. Cutler
  35 | Chris Evans
  36 | Christian Ditter
  37 | Richard LaGravenese
  38 | Chris Columbus
  39 | David F. Sandberg
  40 | Steven Brill
  41 | Will Slocombe
  42 | Mia Hansen-Løve
  43 | Clint Eastwood
  44 | George Miller
  45 | Harald Zwart
  46 | Wes Ball
  47 | Tom Ford
  48 | John R. Leonetti
  49 | Travis Knight
  50 | Sean Anders
  51 | Jon Watts
  52 | Mike Newell
  53 | David Robert Mitchell
  54 | Denzel Washington
  55 | Danny Boyle
  56 | Aisling Walsh
  57 | Scot Armstrong
  58 | Mike Birbiglia
  59 | Philippe Falardeau
  60 | Wes Craven
  61 | Stephen Fingleton
  62 | Dan Bradley
  63 | Jeremy Gillespie
  64 | Jodie Foster
  65 | Paul W.S. Anderson
  66 | Terry George
  67 | Marcus Dunstan
  68 | Terrence Malick
  69 | David Lowery
  70 | Asger Leth
  71 | Lenny Abrahamson
  72 | Alejandro Amenábar
  73 | David Mackenzie
  74 | Jim Mickle
  75 | Tony Gilroy
  76 | Terry Jones
  77 | F. Gary Gray
  78 | André Øvredal
  79 | Greg Mottola
  80 | Albert Hughes
  81 | Alex Proyas
  82 | Florian Gallenberger
  83 | Joseph Kosinski
  84 | Joe Wright
  85 | Mario Van Peebles
  86 | Akan Satayev
  87 | Tarsem Singh
  88 | Kevin Lima
  89 | Brad Furman
  90 | Phillip Noyce
  91 | Tim Miller
  92 | Jon Hurwitz
  93 | Byron Howard
  94 | Tim Burton
  95 | Gavin O'Connor
  96 | Jemaine Clement
  97 | Shana Feste
  98 | Guillermo del Toro
  99 | Spike Jonze
 100 | Taika Waititi
 101 | Zack Snyder
 102 | Jonathan Levine
 103 | Damien Chazelle
 104 | Pablo Larraín
 105 | Phil Claydon
 106 | Andy Tennant
 107 | Robert Schwentke
 108 | Fabio Guaglione
 109 | Peter Jackson
 110 | Rawson Marshall Thurber
 111 | John Erick Dowdle
 112 | Claude Barras
 113 | Robert Luketic
 114 | Edgar Wright
 115 | Josh Gordon
 116 | Mark Williams
 117 | Noam Murro
 118 | Gareth Edwards
 119 | Jérôme Salle
 120 | Gillies MacKinnon
 121 | Simon Verhoeven
 122 | Ana Lily Amirpour
 123 | Genndy Tartakovsky
 124 | Allen Coulter
 125 | Lee Unkrich
 126 | Todor Chapkanov
 127 | Drew Goddard
 128 | Rob Letterman
 129 | Doug Ellin
 130 | Ben Wheatley
 131 | Kyle Patrick Alvarez
 132 | David Gordon Green
 133 | Anne Fontaine
 134 | Mikael Håfström
 135 | Joe Carnahan
 136 | David Bowers
 137 | Chan-wook Park
 138 | Jon M. Chu
 139 | Len Wiseman
 140 | Michael Dowse
 141 | Jon Kasdan
 142 | Jon Favreau
 143 | Sean Ellis
 144 | Rich Moore
 145 | Warren Beatty
 146 | Justin Chadwick
 147 | Christopher McQuarrie
 148 | James Wong
 149 | Craig Brewer
 150 | Gary Winick
 151 | Roger Spottiswoode
 152 | Alfonso Gomez-Rejon
 153 | Gregory Hoblit
 154 | Nima Nourizadeh
 155 | Dennis Dugan
 156 | Sofia Coppola
 157 | Colin Strause
 158 | Alejandro González Iñárritu
 159 | Mark Waters
 160 | Rob Marshall
 161 | Anne Fletcher
 162 | Kirk Jones
 163 | Naoko Yamada
 164 | Scott Stewart
 165 | Olivier Nakache
 166 | Steven Soderbergh
 167 | Juan Carlos Fresnadillo
 168 | Ross Katz
 169 | Lee Toland Krieger
 170 | Pierre Coffin
 171 | So Yong Kim
 172 | Mark Herman
 173 | S.S. Rajamouli
 174 | Gilles Paquet-Brenner
 175 | J.J. Abrams
 176 | Josh Trank
 177 | Mark Mylod
 178 | Rupert Wyatt
 179 | Paul Verhoeven
 180 | Justin Lin
 181 | Carles Torrens
 182 | John Lee Hancock
 183 | Robert Stromberg
 184 | Stewart Hendler
 185 | Thor Freudenthal
 186 | Gabor Csupo
 187 | Craig Gillespie
 188 | Akiva Schaffer
 189 | Hope Dickson Leach
 190 | Gauri Shinde
 191 | Jon Lucas
 192 | Jeremy Saulnier
 193 | Andrew Stanton
 194 | Steve McQueen
 195 | Shawn Burkett
 196 | Erik Van Looy
 197 | Mark Osborne
 198 | Jonathan Liebesman
 199 | Asghar Farhadi
 200 | James Wan
 201 | Jennifer Kent
 202 | Francis Lawrence
 203 | Mike Judge
 204 | Damián Szifron
 205 | Ash Brannon
 206 | Peter Billingsley
 207 | Steven Knight
 208 | Walt Dohrn
 209 | Kevin Smith
 210 | Richie Smyth
 211 | John Crowley
 212 | Dito Montiel
 213 | Kimberly Peirce
 214 | Fede Alvarez
 215 | Nancy Meyers
 216 | Patricia Rozema
 217 | Matthias Hoene
 218 | Mark Andrews
 219 | Bong Joon Ho
 220 | Marc Webb
 221 | John Stockwell
 222 | Miguel Arteta
 223 | Josh Boone
 224 | Angelina Jolie
 225 | Amma Asante
 226 | Mark Steven Johnson
 227 | Frank Darabont
 228 | Julie Taymor
 229 | Dan Trachtenberg
 230 | James Cameron
 231 | Andy Goddard
 232 | James Ponsoldt
 233 | Alexander Payne
 234 | Shane Black
 235 | Tom McCarthy
 236 | Tom Gormican
 237 | George Nolfi
 238 | Adam Leon
 239 | Alex Ranarivelo
 240 | Don Hall
 241 | Tyler Shields
 242 | Derek Cianfrance
 243 | Alan Taylor
 244 | James Gray
 245 | Robert Zemeckis
 246 | Joel Edgerton
 247 | Lone Scherfig
 248 | Peyton Reed
 249 | Jaco Van Dormael
 250 | Dominique Abel
 251 | Tom Hooper
 252 | James Lapine
 253 | Jon S. Baird
 254 | Leslye Headland
 255 | Patrick Hughes
 256 | Zackary Adler
 257 | Pete Docter
 258 | Mike Mills
 259 | Abdellatif Kechiche
 260 | David R. Ellis
 261 | Mira Nair
 262 | Rolfe Kanefsky
 263 | Paco Cabezas
 264 | Aamir Khan
 265 | Taylor Hackford
 266 | Jonathan Glazer
 267 | James Marsh
 268 | Barry Sonnenfeld
 269 | Roman Polanski
 270 | Kenneth Lonergan
 271 | Hugo Gélin
