  id  |                             title                             |                                                                                                                                                                                                              description                                                                                                                                                                                                              | runtime | revenue | review_id | director_id | time_id 
------+---------------------------------------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+---------+---------+-----------+-------------+---------
   54 | John Wick                                                     | An ex-hitman comes out of retirement to track down the gangsters that took everything from him.                                                                                                                                                                                                                                                                                                                                       |     101 |      43 |        54 |         321 |       9
  109 | All We Had                                                    | A mother struggles to make a better life for her daughter.                                                                                                                                                                                                                                                                                                                                                                            |     105 |         |       109 |         374 |      11
  365 | Hail, Caesar!                                                 | A Hollywood fixer in the 1950s works to keep the studio's stars in line.                                                                                                                                                                                                                                                                                                                                                              |     106 |      30 |       365 |          22 |      11
  817 | I.T.                                                          | A self-proclaimed millionaire, has his life turned upside down after firing his I.T. consultant.                                                                                                                                                                                                                                                                                                                                      |      95 |         |       817 |         387 |      11
  819 | Annabelle                                                     | A couple begins to experience terrifying supernatural occurrences involving a vintage doll shortly after their home is invaded by satanic cultists.                                                                                                                                                                                                                                                                                   |      99 |   84.26 |       819 |          48 |       9
  820 | Wolves at the Door                                            | Four friends gather at an elegant home during the Summer of Love, 1969. Unbeknownst to them, deadly visitors are waiting outside. What begins as a simple farewell party turns to a night of ... See full summary »                                                                                                                                                                                                                   |      73 |         |       820 |          48 |      11
  581 | Kickboxer: Vengeance                                          | A kick boxer is out to avenge his brother.                                                                                                                                                                                                                                                                                                                                                                                            |      90 |  131.56 |       581 |         221 |      11
  647 | Burnt                                                         | Adam Jones (Bradley Cooper) is a chef who destroyed his career with drugs and diva behavior. He cleans up and returns to London, determined to redeem himself by spearheading a top restaurant that can gain three Michelin stars.                                                                                                                                                                                                    |     101 |   13.65 |       647 |         365 |      10
  574 | Little Miss Sunshine                                          | A family determined to get their young daughter into the finals of a beauty pageant take a cross-country trip in their VW bus.                                                                                                                                                                                                                                                                                                        |     101 |   59.89 |       574 |         347 |       1
  495 | Under the Skin                                                | A mysterious young woman seduces lonely men in the evening hours in Scotland. However, events lead her to begin a process of self-discovery.                                                                                                                                                                                                                                                                                          |     108 |    2.61 |       495 |         266 |       8
  648 | Tall Men                                                      | A challenged man is stalked by tall phantoms in business suits after he purchases a car with a mysterious black credit card.                                                                                                                                                                                                                                                                                                          |     133 |         |       648 |         567 |      11
  742 | Hands of Stone                                                | The legendary Roberto Duran and his equally legendary trainer Ray Arcel change each other's lives.                                                                                                                                                                                                                                                                                                                                    |     111 |    4.71 |       742 |         305 |      11
  877 | Warm Bodies                                                   | After a highly unusual zombie saves a still-living girl from an attack, the two form a relationship that sets in motion events that might transform the entire lifeless world.                                                                                                                                                                                                                                                        |      98 |   66.36 |       877 |         102 |       8
  890 | 50/50                                                         | Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis, and his subsequent struggle to beat the disease.                                                                                                                                                                                                                                                                                 |     100 |   34.96 |       890 |         102 |       6
  880 | Wrath of the Titans                                           | Perseus braves the treacherous underworld to rescue his father, Zeus, captured by his son, Ares, and brother Hades who unleash the ancient Titans upon the world.                                                                                                                                                                                                                                                                     |      99 |   83.64 |       880 |         198 |       7
  658 | Teenage Mutant Ninja Turtles                                  | When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.                                                                                                                                                                                                                                                                                                        |     101 |  190.87 |       658 |         198 |       9
  126 | The Jungle Book                                               | After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.                                                                                                                                                                                                                              |     106 |     364 |       126 |         142 |      11
  204 | Iron Man                                                      | After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.                                                                                                                                                                                                                                                                                                  |     126 |   318.3 |       204 |         142 |       3
