  id  |  votes  | metascore | userscore 
------+---------+-----------+-----------
    1 |  757074 |        76 |       8.1
    2 |  485820 |        65 |         7
    3 |  157606 |        62 |       7.3
    4 |   60545 |        59 |       7.2
    5 |  393727 |        40 |       6.2
    6 |   56036 |        42 |       6.1
    7 |  258682 |        93 |       8.3
    8 |    2490 |        71 |       6.4
    9 |    7188 |        78 |       7.1
   10 |  192177 |        41 |         7
   11 |  232072 |        66 |       7.5
   12 |   93103 |        74 |       7.8
   13 |  323118 |        65 |       7.9
   14 |  118151 |        81 |       7.7
   15 |    8612 |        70 |       6.4
   16 |  120259 |        61 |       6.6
   17 |  211760 |        71 |       8.2
   18 |  150823 |        58 |       6.7
   19 |  102061 |        69 |       8.1
   20 |  340798 |        81 |         8
   21 |   19053 |        49 |       6.7
   22 |  134213 |        96 |       7.9
   23 |    1115 |        72 |       6.7
   24 |   38552 |        56 |       6.5
   25 |  127553 |        32 |       5.3
   26 |     222 |           |       6.8
   27 |   76193 |           |       8.3
   28 |     523 |           |       4.7
   29 |   66540 |        60 |       6.2
   30 |  112813 |        36 |       5.9
   31 |   48123 |        39 |       6.3
   32 |  126030 |        67 |       7.5
   33 |  275510 |        52 |       7.1
   34 |  627797 |        65 |         8
   35 |   46165 |        49 |       5.6
   36 |  411656 |        75 |       7.9
   37 | 1047747 |        74 |       8.6
   38 |  293732 |        72 |       7.6
   39 |  122853 |        54 |       6.9
   40 |     241 |           |       7.1
   41 |  120690 |        66 |       6.3
   42 |  135095 |        99 |       7.5
   43 |     496 |           |       2.7
   44 |   37033 |        66 |       7.2
   45 |     279 |        57 |       6.3
   46 |  395025 |        45 |       6.7
   47 |   17818 |        64 |       7.3
   48 |    5103 |           |       5.6
   49 |  164567 |        68 |       7.1
   50 |     987 |        16 |       3.7
   51 |  661608 |        81 |       8.1
   52 |   41362 |        23 |       5.8
   53 |   20221 |        18 |       5.6
   54 |  321933 |        68 |       7.2
   55 | 1791916 |        82 |         9
   56 |   49190 |        79 |       7.3
   57 |  121103 |        71 |       7.2
   58 |  113322 |        51 |       7.4
   59 |    3739 |        76 |         7
   60 |  137608 |        74 |       7.5
   61 |  472307 |        44 |       6.7
   62 |   35870 |        65 |       6.8
   63 |  102177 |        48 |       6.5
   64 |  244474 |        46 |       4.1
   65 |  913152 |        66 |       8.5
   66 |  440209 |        58 |       7.7
   67 |   39784 |        69 |       7.4
   68 |  632842 |        90 |       8.1
   69 |     291 |        61 |       7.5
   70 |   89849 |        68 |       7.2
  117 |   50359 |        51 |       6.2
   71 |  149791 |        49 |       5.9
   72 |   78079 |        60 |       7.1
   73 |   39134 |        76 |       7.5
   74 |   43977 |        23 |       6.8
   75 |  296853 |        78 |       8.1
   76 |  498821 |        50 |       7.1
   77 | 1045588 |        69 |       8.1
   78 |  959065 |        69 |       8.3
   79 |  552027 |        53 |       7.3
   80 |  147717 |        60 |       5.3
   81 | 1583625 |        74 |       8.8
   82 |  105081 |        72 |       7.9
   83 |  865134 |        75 |       8.2
   84 |  636243 |        79 |       8.1
   85 |  301249 |        67 |       7.2
   86 |  455169 |        59 |         7
   87 |   27869 |        49 |       6.4
   88 |  935408 |        83 |       7.8
   89 |  341170 |        68 |       7.8
   90 |  162122 |        51 |       7.4
   91 |  431185 |        74 |       8.1
   92 |  187547 |        32 |         7
  118 |   48969 |           |       8.8
   93 |  342429 |        62 |       8.1
   94 |  106463 |        57 |       7.1
   95 |  516895 |        66 |       7.4
   96 |  175067 |        70 |       7.4
   97 |   34110 |        79 |       8.6
   98 |    9247 |        62 |       5.8
   99 |   10181 |        77 |       6.3
  100 |  937414 |        85 |       8.5
  101 |  108836 |        55 |         7
  102 |  570814 |        57 |         7
  103 |  556097 |        80 |         8
  104 |    7204 |           |       7.9
  105 |  202973 |        56 |       7.3
  106 |  115546 |        88 |       7.7
  107 |    1954 |        40 |       5.4
  108 |  117590 |        44 |       6.3
  109 |    1004 |        48 |       5.8
  110 |  339797 |        78 |       7.7
  111 |    3712 |        44 |       6.3
  112 |  486338 |        96 |       8.1
  113 |     512 |        65 |       6.1
  114 |  637104 |        52 |       7.7
  115 |  590595 |        87 |       8.1
  116 |   30761 |        42 |       5.8
  119 |  192968 |        76 |       7.2
  120 |  157026 |        77 |       7.4
  121 |  101058 |        57 |       6.7
  122 |  362093 |        48 |       6.7
  123 |   53183 |        51 |         6
  124 |   10428 |           |       7.4
  125 | 1222645 |        78 |       8.5
  126 |  198243 |        77 |       7.5
  127 |  255483 |        32 |       5.7
  128 |   69651 |        58 |       6.6
  129 |  153481 |        51 |       6.4
  130 |  499424 |        76 |         8
  131 |   50953 |        79 |       7.3
  132 |  109756 |        69 |         6
  133 |   78328 |        59 |       6.4
  134 |  477276 |        88 |       8.5
  135 |  318051 |        61 |       7.1
  136 |  200090 |        68 |       7.3
  137 |  660286 |        91 |       8.1
  138 |  386102 |        55 |       7.3
  139 |  855604 |        63 |       8.1
  140 |   13004 |        44 |       7.1
  141 |  526324 |        82 |         8
  142 |   34184 |        56 |       6.2
  143 |  246360 |        81 |       7.8
  144 |  224132 |        86 |       8.2
  145 | 1039115 |        81 |       8.4
  146 |   33418 |        84 |       8.1
  147 |   47694 |        77 |       7.4
  148 |  410249 |        56 |       7.6
  149 |  442082 |        76 |       7.6
  150 |   97623 |        42 |       6.2
  151 |   50853 |        66 |       6.4
  152 |  735604 |        68 |       7.2
  153 |    4299 |        65 |       5.8
  154 |  243230 |        82 |       7.6
  155 |    1973 |           |       8.1
  156 |   97618 |        29 |       4.7
  157 |  400519 |        64 |         7
  158 |  396714 |        68 |       7.4
  159 |  291457 |        69 |       7.5
  160 |  373244 |        81 |       7.9
  161 |    5926 |        40 |         6
  162 |    6946 |        63 |         7
  163 |  552298 |        74 |         8
  164 |   78043 |        47 |       6.1
  165 |  495106 |        80 |         8
  166 |  361449 |        56 |       5.2
  167 |  156567 |        46 |       6.5
  168 |   39723 |        51 |       7.3
  169 |   76935 |        48 |       7.3
  170 |  308981 |        60 |       6.8
  171 |  332476 |        76 |       7.9
  172 |   72778 |        84 |       7.9
  173 |    2127 |        59 |       5.2
  174 |  390531 |        90 |         8
  175 |  451894 |        74 |       7.5
  176 |  143069 |        60 |       6.5
  177 |  337777 |        79 |       7.6
  178 |  321442 |        71 |         7
  179 |  137203 |        65 |       7.4
  180 |  368912 |        64 |       7.3
  181 |   43086 |        59 |       6.7
  182 |  101781 |        83 |       6.8
  183 |  117018 |        67 |         7
  184 |    1176 |           |       5.9
  185 |   22389 |        85 |         8
  209 |  227912 |        75 |       6.8
  186 |   24003 |        51 |         6
  187 |   11944 |        53 |       6.3
  188 |   97454 |        66 |       6.6
  189 |  461509 |        78 |       7.8
  190 |  106364 |        75 |       6.3
  191 |   27382 |        60 |       7.2
  192 |    1445 |        42 |       5.6
  193 |  268282 |        93 |       8.1
  194 |   22107 |        48 |       5.8
  195 |  355722 |        71 |       8.2
  196 |  547368 |        66 |       6.9
  197 |    3799 |           |       6.3
  198 |  459304 |        73 |       8.1
  199 |  532353 |        73 |       8.1
  200 |   97082 |        52 |       6.3
  201 |  471815 |        71 |       7.9
