 time_id | keyword_id 
---------+------------
       1 |          1
       1 |          2
       1 |          3
       2 |          4
       2 |          1
       2 |          5
       3 |          4
       3 |          6
       3 |          7
       4 |          4
       4 |          8
       4 |          9
       5 |          4
       5 |         10
       5 |         11
       6 |         12
       6 |          8
       6 |          9
       7 |          4
       7 |         13
       7 |         14
       8 |         15
       8 |         16
       8 |         17
       9 |         18
       9 |          6
       9 |         19
      10 |         20
      10 |         21
      10 |         22
      11 |         23
      11 |         24
      11 |          6
(33 rows)

