          director_name           | max | min 
----------------------------------+-----+-----
 Glenn Ficarra                    | 118 | 105
 Walter Hill                      |  95 |  95
 Martin Koolhoven                 | 148 | 148
 Morten Tyldum                    | 116 | 114
 Frank Miller                     | 102 | 102
 Robert Rodriguez                 | 191 | 105
 Bobby Farrelly                   | 116 | 116
 Phil Lord                        | 112 | 100
 Martin Scorsese                  | 180 | 126
 Christopher Smith                |  99 |  97
 John Hillcoat                    | 116 | 111
 Seth Gordon                      |  98 |  98
 Rupert Sanders                   | 127 | 127
 Wally Pfister                    | 119 | 119
 Sylvester Stallone               | 103 |  92
 Atom Egoyan                      | 114 | 114
 Jeff Grace                       |  88 |  88
 Tom Tykwer                       | 172 |  98
 Amber Tamblyn                    |  96 |  96
 John Krasinski                   |  88 |  88
 Simon West                       | 103 | 103
 Ethan Coen                       | 122 | 106
 Patricia Riggen                  | 109 | 109
 Jamal Hill                       |  87 |  87
 Lars von Trier                   | 135 | 108
 Nicholas Stoller                 | 111 |  87
 Clay Kaytis                      |  97 |  97
 Michael J. Gallagher             |  81 |  81
 Scott Frank                      | 114 | 114
 Sam Raimi                        | 139 | 130
 Filip Renc                       | 106 | 106
 Steven Shainberg                 | 102 | 102
 R.J. Cutler                      | 107 | 107
 Rob Zombie                       | 102 | 102
 Chris Evans                      |  95 |  95
 Christian Ditter                 | 110 | 102
 Richard LaGravenese              | 126 | 123
 Chris Columbus                   | 118 | 105
 David F. Sandberg                |  81 |  81
 Steven Brill                     | 108 | 108
 Will Slocombe                    |  88 |  88
 Mia Hansen-Løve                  | 102 | 102
 Clint Eastwood                   | 141 |  96
 George Miller                    | 120 | 108
 Harald Zwart                     | 140 | 130
 Wes Ball                         | 131 | 113
 Tom Ford                         | 116 | 116
 John R. Leonetti                 |  99 |  73
 Sean Anders                      | 108 |  96
 Travis Knight                    | 101 | 101
 Jon Watts                        | 100 | 100
 Mike Newell                      | 116 | 116
 David Robert Mitchell            | 100 | 100
 Aisling Walsh                    | 115 | 115
 Danny Boyle                      | 122 |  94
 Denzel Washington                | 139 | 139
 Scot Armstrong                   |  93 |  93
 Mike Birbiglia                   |  92 |  92
 Philippe Falardeau               |  98 |  98
 Wes Craven                       | 111 | 111
 Stephen Fingleton                | 104 | 104
 Dan Bradley                      |  93 |  93
 Jeremy Gillespie                 |  90 |  90
 Jodie Foster                     |  98 |  98
 Paul W.S. Anderson               | 110 |  96
 Terry George                     | 133 | 133
 Marcus Dunstan                   |  87 |  87
 Terrence Malick                  | 139 | 118
 David Lowery                     | 102 | 102
 Asger Leth                       | 102 | 102
 Lenny Abrahamson                 | 118 | 118
 Alejandro Amenábar               | 106 | 106
 David Mackenzie                  | 102 | 102
 Jim Mickle                       |  98 |  98
 Tony Gilroy                      | 135 | 135
 Terry Jones                      |  85 |  85
 F. Gary Gray                     | 147 | 109
 André Øvredal                    |  86 |  86
 Albert Hughes                    | 118 | 118
 Greg Mottola                     | 113 | 104
 Joe Wright                       | 129 | 111
 Mario Van Peebles                | 128 | 128
 Phillip Noyce                    | 100 |  97
 Tim Burton                       | 127 | 108
 Gavin O'Connor                   | 140 | 128
 Shana Feste                      | 104 | 104
 Guillermo del Toro               | 131 | 118
 Taika Waititi                    | 101 | 101
 Jonathan Levine                  | 100 |  98
 Andy Tennant                     | 112 | 112
 Damien Chazelle                  | 128 | 107
 Pablo Larraín                    | 100 | 100
 Phil Claydon                     |  88 |  88
 Robert Schwentke                 | 120 | 111
 Fabio Guaglione                  | 106 | 106
 John Erick Dowdle                | 103 | 103
 Rawson Marshall Thurber          | 110 | 107
 Robert Luketic                   | 123 |  96
 Edgar Wright                     | 121 | 109
 Josh Gordon                      | 105 | 105
 Noam Murro                       | 102 | 102
 Jérôme Salle                     | 122 | 122
 Simon Verhoeven                  |  92 |  92
 Ana Lily Amirpour                | 118 | 118
 Drew Goddard                     |  95 |  95
 Todor Chapkanov                  |  86 |  86
 Kyle Patrick Alvarez             | 122 | 122
 Anne Fontaine                    | 112 | 112
 Joe Carnahan                     | 117 | 117
 Chan-wook Park                   | 144 | 144
 Jon Favreau                      | 126 | 106
 Justin Chadwick                  | 115 | 115
 Rich Moore                       | 101 | 101
 Warren Beatty                    | 127 | 127
 Christopher McQuarrie            | 131 | 130
 Craig Brewer                     | 113 | 113
 James Wong                       |  85 |  85
 Gary Winick                      |  89 |  89
 Alfonso Gomez-Rejon              | 105 | 105
 Nima Nourizadeh                  |  88 |  88
 Dennis Dugan                     | 117 | 101
 Mark Waters                      | 104 | 104
 Anne Fletcher                    | 108 | 104
 Rob Marshall                     | 136 | 125
 Scott Stewart                    | 100 | 100
 Ross Katz                        | 111 | 111
 Pierre Coffin                    |  98 |  95
 S.S. Rajamouli                   | 159 | 159
 Gilles Paquet-Brenner            | 113 | 113
 J.J. Abrams                      | 136 | 112
 Josh Trank                       | 100 | 100
 Rupert Wyatt                     | 111 | 105
 Carles Torrens                   |  94 |  94
 John Lee Hancock                 | 129 | 115
 Robert Stromberg                 |  97 |  97
 Gabor Csupo                      |  96 |  96
 Craig Gillespie                  | 117 | 117
 Jeremy Saulnier                  |  95 |  95
 Steve McQueen                    | 134 |  96
 Mark Osborne                     |  92 |  92
 Shawn Burkett                    |  73 |  73
 Francis Lawrence                 | 146 | 101
 James Wan                        | 137 | 103
 Jennifer Kent                    |  93 |  93
 Ash Brannon                      |  90 |  90
 Peter Billingsley                | 113 | 113
 Steven Knight                    |  85 |  85
 Kevin Smith                      | 102 |  88
 Richie Smyth                     | 108 | 108
 Walt Dohrn                       |  92 |  92
 John Crowley                     | 117 |  96
 Fede Alvarez                     |  91 |  88
 Matthias Hoene                   | 108 | 108
 Marc Webb                        | 142 |  95
