                             title                             | count 
---------------------------------------------------------------+-------
 Point Break                                                   |     3
 Relatos salvajes                                              |     3
 Concussion                                                    |     3
 The Hateful Eight                                             |     3
 Captain America: The Winter Soldier                           |     3
 The Other Woman                                               |     2
 True Crimes                                                   |     3
 The Theory of Everything                                      |     3
 Zero Dark Thirty                                              |     3
 I Am the Pretty Thing That Lives in the House                 |     1
 Talladega Nights: The Ballad of Ricky Bobby                   |     3
 A Kind of Murder                                              |     3
 Indignation                                                   |     2
 Rio                                                           |     3
 There Will Be Blood                                           |     2
 Fantastic Four                                                |     3
 Wolves at the Door                                            |     2
 Bridge of Spies                                               |     3
 Whisky Galore                                                 |     2
 L'odyssée                                                     |     2
 Kickboxer: Vengeance                                          |     1
 Kingsman: The Secret Service                                  |     3
 Edge of Tomorrow                                              |     3
 Whiplash                                                      |     2
 American Sniper                                               |     3
 Disaster Movie                                                |     1
 Watchmen                                                      |     3
 John Carter                                                   |     3
 The Hobbit: An Unexpected Journey                             |     2
 Cloverfield                                                   |     3
 Australia                                                     |     3
 1408                                                          |     2
 Arrival                                                       |     3
 What If                                                       |     2
 Beowulf                                                       |     3
 Annabelle                                                     |     3
 Deadpool                                                      |     3
 Frozen                                                        |     3
 Out of the Furnace                                            |     3
 Collide                                                       |     3
 Jagten                                                        |     1
 High-Rise                                                     |     1
 Live Free or Die Hard                                         |     3
 Busanhaeng                                                    |     3
 The Visit                                                     |     3
 Denial                                                        |     2
 Finding Dory                                                  |     3
 The Place Beyond the Pines                                    |     3
 Trolls                                                        |     3
 The Secret Life of Pets                                       |     3
 Interstellar                                                  |     3
 Their Finest                                                  |     3
 Boyhood                                                       |     1
 Rocky Balboa                                                  |     2
 Percy Jackson & the Olympians: The Lightning Thief            |     3
 Lowriders                                                     |     1
 Tinker Tailor Soldier Spy                                     |     3
 Total Recall                                                  |     3
 Evil Dead                                                     |     2
 Coherence                                                     |     3
 The Intouchables                                              |     3
 Faster                                                        |     3
 Eagle Eye                                                     |     3
 Norman: The Moderate Rise and Tragic Fall of a New York Fixer |     2
 Vampire Academy                                               |     3
 The Founder                                                   |     3
 Minions                                                       |     3
 No Strings Attached                                           |     2
 The Hangover                                                  |     1
 Ma vie de Courgette                                           |     3
 RocknRolla                                                    |     3
 The Town                                                      |     3
 Hardcore Henry                                                |     3
 Don't Fuck in the Woods                                       |     1
 I Am Number Four                                              |     3
 The Green Inferno                                             |     2
 The Expendables 2                                             |     3
 The Revenant                                                  |     3
 Birdman or (The Unexpected Virtue of Ignorance)               |     3
 Jurassic World                                                |     3
 300: Rise of an Empire                                        |     3
 The Sea of Trees                                              |     1
 The Edge of Seventeen                                         |     2
 Hunt for the Wilderpeople                                     |     3
 Sex Tape                                                      |     2
 Jennifer's Body                                               |     2
 World War Z                                                   |     3
 Demolition                                                    |     2
 Goosebumps                                                    |     3
 Popstar: Never Stop Never Stopping                            |     2
 Closed Circuit                                                |     3
 The House Bunny                                               |     2
 Robin Hood                                                    |     3
 A Hologram for the King                                       |     2
 Vincent N Roxxy                                               |     3
 The Hunger Games: Catching Fire                               |     3
 The Mist                                                      |     1
 The King's Speech                                             |     2
 No Escape                                                     |     2
 Free Fire                                                     |     3
 Apocalypto                                                    |     3
 Pitch Perfect 2                                               |     2
 Realive                                                       |     1
 Twin Peaks: The Missing Pieces                                |     3
 Moonrise Kingdom                                              |     3
 The Imaginarium of Doctor Parnassus                           |     3
 La La Land                                                    |     3
 The Human Centipede (First Sequence)                          |     1
 Casino Royale                                                 |     3
 Home                                                          |     3
 I Am Legend                                                   |     3
 Alice in Wonderland                                           |     3
 Il racconto dei racconti - Tale of Tales                      |     3
 Black Swan                                                    |     2
 Criminal                                                      |     3
 The Gambler                                                   |     3
 Snakes on a Plane                                             |     3
 The Descendants                                               |     2
 The Finest Hours                                              |     3
 Swiss Army Man                                                |     3
 Godzilla                                                      |     3
 The Bourne Legacy                                             |     3
 Blood Father                                                  |     3
 It's Only the End of the World                                |     1
 Inception                                                     |     3
 The Great Gatsby                                              |     2
 Tracktown                                                     |     2
 Pixels                                                        |     3
 Dawn of the Planet of the Apes                                |     3
 The Drop                                                      |     3
 Sunshine                                                      |     3
 American Pastoral                                             |     2
 Battleship                                                    |     3
 Dredd                                                         |     2
 The Hollars                                                   |     3
 X-Men: Days of Future Past                                    |     3
 Seven Psychopaths                                             |     2
 The Avengers                                                  |     2
 Forushande                                                    |     2
 Project X                                                     |     1
 Alice Through the Looking Glass                               |     3
 Kick-Ass                                                      |     2
 Jumper                                                        |     3
 The Expendables 3                                             |     3
 Death Race                                                    |     3
 Underworld Awakening                                          |     3
 The Tree of Life                                              |     2
 Tusk                                                          |     3
 The Other Boleyn Girl                                         |     3
 Indiana Jones and the Kingdom of the Crystal Skull            |     3
 Star Wars: Episode VII - The Force Awakens                    |     3
 Youth                                                         |     3
