          director_name           
----------------------------------
 Glenn Ficarra
 Morten Tyldum
 Frank Miller
 Robert Rodriguez
 Bobby Farrelly
 Phil Lord
 Martin Scorsese
 John Hillcoat
 Seth Gordon
 Rupert Sanders
 Wally Pfister
 Sylvester Stallone
 Tom Tykwer
 John Krasinski
 Simon West
 Ethan Coen
 Patricia Riggen
 Lars von Trier
 Nicholas Stoller
 Clay Kaytis
 Scott Frank
 Sam Raimi
 R.J. Cutler
 Christian Ditter
 Richard LaGravenese
 Chris Columbus
 David F. Sandberg
 Clint Eastwood
 George Miller
 Harald Zwart
 Wes Ball
 Tom Ford
 John R. Leonetti
 Sean Anders
 Travis Knight
 Mike Newell
 David Robert Mitchell
 Danny Boyle
 Denzel Washington
 Mike Birbiglia
 Wes Craven
 Dan Bradley
 Jodie Foster
 Paul W.S. Anderson
 Terrence Malick
 David Lowery
 Asger Leth
 Lenny Abrahamson
 David Mackenzie
 Tony Gilroy
 F. Gary Gray
 Albert Hughes
 Greg Mottola
 Joe Wright
 Phillip Noyce
 Tim Burton
 Gavin O'Connor
 Shana Feste
 Guillermo del Toro
 Taika Waititi
 Jonathan Levine
 Andy Tennant
 Damien Chazelle
 Pablo Larraín
 Robert Schwentke
 John Erick Dowdle
 Rawson Marshall Thurber
 Robert Luketic
 Edgar Wright
 Josh Gordon
 Noam Murro
 Simon Verhoeven
 Drew Goddard
 Joe Carnahan
 Chan-wook Park
 Jon Favreau
 Justin Chadwick
 Rich Moore
 Warren Beatty
 Christopher McQuarrie
 Craig Brewer
 James Wong
 Gary Winick
 Alfonso Gomez-Rejon
 Nima Nourizadeh
 Dennis Dugan
 Mark Waters
 Anne Fletcher
 Rob Marshall
 Scott Stewart
 Ross Katz
 Pierre Coffin
 S.S. Rajamouli
 J.J. Abrams
 Josh Trank
 Rupert Wyatt
 John Lee Hancock
 Robert Stromberg
 Gabor Csupo
 Craig Gillespie
 Jeremy Saulnier
 Steve McQueen
 Mark Osborne
 Francis Lawrence
 James Wan
 Ash Brannon
 Peter Billingsley
 Steven Knight
 Kevin Smith
 Walt Dohrn
 John Crowley
 Fede Alvarez
 Marc Webb
 John Stockwell
 Miguel Arteta
 Amma Asante
 Mark Steven Johnson
 Frank Darabont
 Dan Trachtenberg
 James Cameron
 Alexander Payne
 Shane Black
 Tom Gormican
 George Nolfi
 Don Hall
 James Gray
 Joel Edgerton
 Robert Zemeckis
 Peyton Reed
 Tom Hooper
 Zackary Adler
 Abdellatif Kechiche
 Mike Mills
 Pete Docter
 David R. Ellis
 Mira Nair
 Taylor Hackford
 Barry Sonnenfeld
 John Francis Daley
 Måns Mårlind
 Lee Daniels
 Jared Hess
 Levan Gabriadze
 Matt Brown
 Doug Liman
 Alex Garland
 James Mangold
 Pierre Morel
 Elizabeth Banks
 Paul Thomas Anderson
 Jonathan Jakubowicz
 M. Night Shyamalan
 Jeff Nichols
 Kyle Balda
 D.J. Caruso
 Oliver Stone
 Bill Condon
 David Slade
 Chad Stahelski
 Michael Haneke
 Scott Derrickson
 Scott Hicks
 Brad Peyton
 Will Gluck
 Richard Curtis
 Hideaki Anno
 Ericson Core
 Thea Sharrock
 John Luessenhop
 Peter Berg
 Jonathan Dayton
 Colin Trevorrow
 Bennett Miller
 Ben Falcone
 McG
 Olivier Assayas
 Yimou Zhang
 Anna Foerster
 Andrew Niccol
 Dexter Fletcher
 Gabriele Muccino
 Werner Herzog
 Adam Wingard
 Nicolas Winding Refn
 Ben Affleck
 John Hamburg
 Larry Charles
 Niels Arden Oplev
 Paul McGuigan
 Joss Whedon
 Jordan Vogt-Roberts
 Lynne Ramsay
 Joe Johnston
 Luke Scott
 Jim Jarmusch
 Max Joseph
 Kenneth Branagh
 Justin Kurzel
 Neil Burger
 Terence Davies
 James Schamus
 Joseph Gordon-Levitt
 Maren Ade
 Terry Gilliam
 Breck Eisner
 Martin McDonagh
 Paul Greengrass
 Gavin Hood
 J.A. Bayona
 Lasse Hallström
 Ari Sandel
 Catherine Hardwicke
 Matt Ross
 Judd Apatow
 Greg Berlanti
 Bruce A. Evans
 Andrew Dominik
 Stephen Gaghan
 Stephen Chbosky
 Baz Luhrmann
 Boaz Yakin
 Greg Tiernan
 Ruben Fleischer
 Kelly Fremon Craig
 Scott Cooper
 John Carney
 Steven Quale
 José Padilha
 Timur Bekmambetov
 Alexandre Aja
 Guy Ritchie
 Barry Jenkins
 J Blakeson
 Chris Wedge
 Peter Landesman
 Daniel Espinosa
 Chris Renaud
 Jake Kasdan
 Ivan Reitman
 Bryan Singer
 Darren Aronofsky
 Alessandro Carloni
 Tony Scott
 Dan Kwan
 Mike Flanagan
 Sergei Bodrov
 Michael Showalter
 James DeMonaco
 Michael Mann
 Anthony Russo
 Rick Famuyiwa
 Richard Linklater
 Todd Phillips
 John Madden
 David Twohy
 Lana Wachowski
 Luke Greenfield
 Rajkumar Hirani
 Wes Anderson
 Andy Fickman
 Jean-François Richet
 Jaume Collet-Serra
 Neill Blomkamp
 Ridley Scott
 Eli Roth
 Tomas Alfredson
 Sean Penn
 Dean DeBlois
 Etan Cohen
